Unnamed: 0,CustomerID,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
3850,203850,55.0,1,1,17.0,3,1,4,4.0,1,5.0,3,8.0,1,1,0,1.0,2,23118.0
2463,202463,39.0,1,1,9.0,2,2,3,4.0,0,3.0,3,7.0,1,4,0,2.0,1,22622.0
878,200878,42.0,0,2,8.0,3,2,3,1.0,1,5.0,0,1.0,0,2,0,2.0,2,21272.0
2482,202482,37.0,1,1,12.0,2,1,3,5.0,0,5.0,0,2.0,1,2,1,1.0,1,98678.0
3074,203074,23.0,1,1,7.0,2,2,3,5.0,1,3.0,0,8.0,0,2,1,1.0,2,23453.0
3002,203002,33.0,0,1,31.0,2,2,4,4.0,1,3.0,0,3.0,0,4,1,1.0,2,23987.0
1261,201261,38.0,1,1,24.0,3,2,2,5.0,1,3.0,1,4.0,1,5,0,1.0,2,20811.0
3187,203187,60.0,1,1,9.0,2,1,4,5.0,4,3.0,2,5.0,1,5,0,3.0,0,32404.0
2230,202230,53.0,0,3,8.0,3,1,2,4.0,3,4.0,1,3.0,0,1,1,0.0,3,22525.0
3643,203643,37.0,1,1,33.0,2,2,4,4.0,1,3.0,1,8.0,0,3,1,1.0,2,24025.0
1897,201897,60.0,0,3,34.0,3,1,3,4.0,3,5.0,1,5.0,0,1,1,0.0,3,25266.0
4738,204738,43.0,1,1,36.0,3,2,3,6.0,1,3.0,3,6.0,0,3,1,2.0,2,22950.0
1480,201480,35.0,1,1,22.0,3,2,2,1.0,0,4.0,1,1.0,0,4,1,1.0,1,17426.0
4557,204557,43.0,1,1,10.0,2,1,4,2.0,1,3.0,1,4.0,1,5,1,1.0,2,23909.0
994,200994,52.0,0,1,34.0,3,1,2,1.0,4,3.0,0,3.0,1,4,0,0.0,0,28247.0
3104,203104,59.0,0,1,9.0,2,2,3,5.0,0,3.0,1,2.0,1,2,0,1.0,1,21058.0
9,200009,36.0,1,1,33.0,3,2,3,3.0,1,3.0,0,7.0,0,3,1,0.0,2,20237.0
3825,203825,29.0,0,1,23.0,3,2,3,4.0,0,3.0,2,3.0,0,3,0,1.0,1,20822.0
4425,204425,37.0,1,1,16.0,3,2,3,5.0,1,4.0,1,4.0,1,4,0,2.0,2,27525.0
198,200198,38.0,1,1,8.0,2,2,2,3.0,1,3.0,0,1.0,0,2,0,1.0,2,21553.0
1012,201012,31.0,0,3,6.0,2,1,2,5.0,0,3.0,2,2.0,0,3,1,1.0,1,16359.0
3069,203069,46.0,1,3,16.0,3,2,4,4.0,3,5.0,1,6.0,1,2,1,1.0,3,29439.0
4873,204873,41.0,1,3,14.0,3,2,3,4.0,0,4.0,3,3.0,0,5,0,1.0,1,23339.0
2443,202443,35.0,1,1,13.0,2,2,3,3.0,0,4.0,2,2.0,1,3,1,1.0,1,20363.0
2016,202016,29.0,1,3,16.0,2,2,3,3.0,0,3.0,2,2.0,0,4,1,0.0,1,17642.0
1561,201561,51.0,1,3,27.0,3,2,3,3.0,1,3.0,2,1.0,1,5,0,2.0,2,20441.0
304,200304,39.0,1,1,6.0,3,2,2,2.0,3,3.0,1,1.0,0,3,1,0.0,3,24613.0
628,200628,37.0,1,3,22.0,3,2,3,4.0,1,3.0,1,5.0,0,5,1,2.0,2,21334.0
710,200710,33.0,0,3,23.0,2,2,2,3.0,4,3.0,2,2.0,0,3,1,1.0,0,32444.0
4045,204045,51.0,0,3,19.0,3,0,4,4.0,3,3.0,3,6.0,0,5,1,3.0,3,27886.0
3738,203738,42.0,1,1,12.0,2,2,3,2.0,1,4.0,3,5.0,0,5,1,1.0,2,25548.0
2763,202763,33.0,1,3,15.0,1,1,4,5.0,1,4.0,0,3.0,1,2,1,1.0,2,23906.0
3267,203267,30.0,0,1,17.0,2,1,4,4.0,0,4.0,1,2.0,0,5,1,1.0,1,21969.0
2779,202779,41.0,1,3,7.0,3,2,3,6.0,1,3.0,0,4.0,1,3,1,1.0,2,26135.0
3466,203466,38.0,0,1,12.0,1,2,3,2.0,0,3.0,3,2.0,0,5,1,1.0,1,22178.0
3418,203418,28.0,0,3,9.0,2,2,3,6.0,1,3.0,3,5.0,0,4,1,2.0,2,23749.0
3668,203668,27.0,1,1,24.0,3,2,4,6.0,0,3.0,1,3.0,0,3,0,3.0,1,20983.0
1788,201788,27.0,1,1,11.0,2,1,2,3.0,0,4.0,2,2.0,1,3,0,1.0,1,17478.0
4430,204430,24.0,1,1,11.0,3,2,3,2.0,0,5.0,1,4.0,0,4,0,2.0,1,21497.0
2076,202076,34.0,0,1,22.0,2,1,3,4.0,0,3.0,2,2.0,0,5,1,2.0,1,17553.0
4856,204856,37.0,1,3,17.0,3,2,3,5.0,3,5.0,1,2.0,0,5,0,1.0,3,25772.0
2317,202317,34.0,0,1,7.0,3,2,3,4.0,1,5.0,2,1.0,0,1,0,0.0,2,20343.0
216,200216,30.0,0,3,32.0,3,1,2,4.0,1,5.0,3,6.0,0,2,0,1.0,2,21696.0
1640,201640,27.0,1,1,23.0,1,2,2,3.0,0,4.0,1,1.0,1,4,0,0.0,1,18058.0
